status,orgao,origem,tipoMeio,generoDocumental,categoria,tipoDocumento,numeroDocumento,processoOriginario,numeroAntigo,dataAbrangente,descricaoDocumento,partes,documentosRelacionadosIds,palavrasChave,dataArquivamento,quantidadeVolumes,quantidadeApensos,apensos,totalMidias,midias,digitalizado,tipoBaixa,dataBaixa,tipoPlanoClassificacao,codigoClassificacaoArquivistica,alteracaoDestinacaoFinal,necessidadeReclassificacao,segredoJustica,grauSigilo,codigosCaixa,codigoAtoM,observacoesGerais,codigoClassificacaoJudicialId,numeroListagemEliminacao,numeroDocumentoTransferencia
Arquivado,TRF2,"Vara Federal - VF","Não digital",Textual,"Processo Judicial","Ação Ordinária","TESTE-IMP-001","","","01/2021","Processo de teste de importação 001, referente a questões cíveis.","[]","","importacao;civil","15/01/2021","1","0","[]","0","[]","Não","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-01","","","","",""
Arquivado,SJRJ,"Secretaria de Administração","Digital",Textual,"Processo Administrativo","Processo Licitatório","TESTE-IMP-002","","","02/2021","Processo de teste de importação 002, licitação para material de escritório.","[{""id"":""p_imp_1"",""nome"":""Empresa Fornecedora Ltda"",""tipoParte"":""Interessado""}]","","licitacao;material","20/02/2021","2","0","[]","0","[]","Sim","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-02","","","","",""
Arquivado,SJES,"Gabinete X","Digital",Textual,"Documento","Portaria","TESTE-IMP-003","","","03/2021","Processo de teste de importação 003, portaria de designação.","[]","","portaria;designacao","05/03/2021","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-03","","","","",""
Arquivado,TRF2,"Vara Cível - VC","Híbrido",Textual,"Processo Judicial","Execução Fiscal","TESTE-IMP-004","","","04/2021","Processo de teste de importação 004, execução fiscal.","[{""id"":""p_imp_2"",""nome"":""União Federal"",""tipoParte"":""Autor""}]","","execucao;fiscal","10/04/2021","3","1","[{""id"":""ap_imp_1"",""numeroApenso"":""AP-TESTE-01"",""caixaApenso"":""CX-IMP-04""}]","0","[]","Sim","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-04","","","","",""
Arquivado,SJRJ,"Juizado Especial - JE","Digital",Textual,"Processo Judicial","Procedimento do Juizado Especial Cível","TESTE-IMP-005","","","05/2021","Processo de teste de importação 005, pequenas causas.","[{""id"":""p_imp_3"",""nome"":""Maria da Costa"",""tipoParte"":""Réu""}]","","juizado;pequenas causas","15/05/2021","1","0","[]","0","[]","Sim","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-05","","","","",""
Arquivado,TRF2,"Diretoria Geral","Digital",Textual,"Processo Administrativo","Designação de Comissão","TESTE-IMP-006","","","06/2021","Processo de teste de importação 006, designação de comissão.","[]","","comissao;designacao","01/06/2021","1","0","[]","0","[]","Sim","","","Administrativo","030.5","Não Alterar","Não","Não","Ostensivo","CX-IMP-06","","","","",""
Arquivado,SJES,"Vara de Família","Não digital",Textual,"Processo Judicial","Inventário","TESTE-IMP-007","","","07/2021","Processo de teste de importação 007, inventário e partilha.","[{""id"":""p_imp_4"",""nome"":""Espólio de José Pereira"",""tipoParte"":""Inventariado""}]","","inventario;familia","05/07/2021","5","0","[]","0","[]","Não","","","Judicial","020.1","Guarda Permanente – Decisão da CPAD","Não","Sim","Reservado","CX-IMP-07","","","","",""
Arquivado,SJRJ,"Secretaria de Gestão de Pessoas","Digital",Textual,"Documento","Certidão","TESTE-IMP-008","","","08/2021","Processo de teste de importação 008, certidão de tempo de serviço.","[{""id"":""p_imp_5"",""nome"":""Carlos Souza"",""tipoParte"":""Requerente""}]","","certidao;rh","12/08/2021","1","0","[]","0","[]","Sim","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-08","","","","",""
Arquivado,TRF2,"Secretaria de Orçamento e Finanças","Híbrido",Textual,"Processo Administrativo","Prestação de Contas","TESTE-IMP-009","","","09/2021","Processo de teste de importação 009, prestação de contas de convênio.","[]","","contas;convenio","18/09/2021","4","2","[{""id"":""ap_imp_2"",""numeroApenso"":""AP-CONTAS-01""},{""id"":""ap_imp_3"",""numeroApenso"":""AP-CONTAS-02""}]","1","[{""id"":""m_imp_1"",""tipoMidia"":""CD-R"",""numeroMidia"":""CD001""}]","Não","","","Administrativo","045.2","Não Alterar","Não","Não","Ostensivo","CX-IMP-09","","","","",""
Arquivado,TRF2,"Gabinete do Desembargador Z","Digital",Textual,"Processo Judicial","Agravo de Instrumento","TESTE-IMP-010","","","10/2021","Processo de teste de importação 010, agravo de instrumento.","[]","","agravo","22/10/2021","1","0","[]","0","[]","Sim","","","Judicial","020.1","Não Alterar","Não","Não","Ostensivo","CX-IMP-10","","","","",""
